Drug_Name,Drug_Type,MRP,Manufacturer,Pack_Size,Product_Introduction,Uses,Benefits,How_It_Works,Common_Side_Effects,How_To_Use,Scraped_At
MEGAneuron OD Plus Capsule,Capsule,₹ 164,Aristo Pharmaceuticals Pvt Ltd,1 Strip,,Treatment of Vitamin & mineral deficiency,"In Treatment of Vitamin & mineral deficiency MEGAneuron OD Plus Capsule contains nutritional supplements that help the body perform various vital functions like formation of red blood cells and absorption of iron in the body. It also helps your body use fats and carbohydrates for energy and make new protein. This combination contains other vitamins and minerals that help in strengthening the immune system, improve metabolism of the body and aid in the proper functioning of the nervous system. Taking MEGAneuron OD Plus Capsule improves general health and enhances the quality of life.","MEGAneuron OD Plus Capsule is a combination of six nutritional supplements: Methylcobalamin, Vitamin B6 (Pyridoxine), Benfotiamine, Alpha Lipoic Acid, Folic Acid and Biotin which replenish the bodys stores of important nutrients.",,"Take this medicine in the dose and duration as advised by your doctor. MEGAneuron OD Plus Capsule may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:15
MEPRate 10mg Tablet,Tablet,₹ 65.48,Serum Institute Of India Ltd,1 Strip,"MEPRate 10mg Tablet is similar to the progesterone hormone naturally produced by the body. It helps regulate abnormal uterine bleeding, induces withdrawal bleeding in cases of amenorrhea (the absence of menstrual periods), and may also be used to treat endometriosis. MEPRate 10mg Tablet should be taken as your doctors advice. Your doctor will decide how much you need to take and for how much time. You may take it with or without food, but better to take it at a fixed time. You should take this medicine for as long as it is prescribed for you. The most common side effects of this medicine include headache, abdominal pain, breast pain, nausea and vomiting, hair loss, and vaginal infection. If any of these bother you, let your doctor know. There may be ways of reducing or preventing them. It may also cause irregular periods, bleeding, or spotting in between menstrual periods. Let your doctor know if this occurs frequently. Before taking this medicine, you must let your doctor know if you",Treatment of Abnormal uterine bleeding Treatment of Amenorrhea Treatment of Endometriosis,"In Treatment of Abnormal uterine bleeding MEPRate 10mg Tablet is a synthetic progestin that replicates the effect of a natural female hormone called progesterone. It slows the growth of the lining of the womb before menstruation, which reduces the bleeding during menstruation. If heavy periods become such a problem that they interfere with your everyday life, then try taking things a little easier on those days. Some women find that relaxation techniques or yoga help them feel more relaxed and reduce stress. Getting a lot of exercise can also help. In Treatment of Amenorrhea MEPRate 10mg Tablet contains progesterone, a female hormone that is important in the regulation of ovulation and menstruation. It is used to cause menstrual periods in women who have not reached menopause but are not having periods due to a lack of natural progesterone in the body. You should use the medicine as prescribed for it to be effective. Avoid any stress and follow your doctors instructions carefully. Imp","MEPRate 10mg Tablet is a progestin (female hormone). It works by replacing the natural progesterone hormone that the body is unable to make. This treats painful, irregular, or absent menstrual periods. It also prevents an overgrowth of the lining of the uterus in menopausal women taking estrogen (another female hormone).",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of MEPRate Headache Abdominal pain Breast pain Irregular vaginal bleeding Nausea Vomiting Hair loss Edema (swelling) Vaginal yeast infection,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. MEPRate 10mg Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:15
Meqsel Tablet,Tablet,"₹ 54,960",Novartis India Ltd,1 Bottle,"Meqsel Tablet is used alone or in combination with other medicines to treat unresectable or metastatic melanoma. An unresectable or metastatic melanoma is an advanced stage of skin cancer where the cancer has either spread to other parts of the body or has become challenging to remove through surgery. Meqsel Tablet should be taken in the dose and duration as advised by the doctor. The duration of treatment varies on the basis of your response to the treatment. Your doctor may advise regular eye examinations while taking this medicine. You must inform the doctor if you experience eye irritation, blurred vision, eye pain, or other vision changes during your treatment. The most common side effects of this medicine are rash, diarrhea, and lymphedema (swelling of lymph nodes). It may also cause other side effects like fever, chills, fatigue, rash, nausea, vomiting, and abdominal pain. Consult your doctor if you experience any of these side effects that do not go away or get worse. They may",Treatment of unresectable or metastatic Melanoma,"In Treatment of unresectable or metastatic Melanoma Melanoma is a type of skin cancer that develops in melanocytes, the cells that produce the pigment called melanin. Melanin is the pigment that gives the skin its color. Melanoma is the most deadly and aggressive kind of skin cancer. Meqsel Tablet sticks to the genetic code, called DNA, of the cancer cells and kills them. It also prevents their growth and further spread, which help treat cancer.",Meqsel Tablet works by blocking the action of an abnormal protein that signals cancer cells to multiply. This helps stop the spread of cancer cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Meqsel Rash Diarrhea Lymphedema Fever Chills Nausea Vomiting Abdominal pain Peripheral edema Cough Headache Joint pain Night sweats Decreased appetite Constipation Muscle pain,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Meqsel Tablet is to be taken with food.",21-10-2025 18:15
Met XL 25 Tablet,Tablet,₹ 90.71,Ajanta Pharma Ltd,25 Tablet,"Met XL 25 Tablet belongs to a group of medicines called beta-blockers. It is used to treat high blood pressure (hypertension), angina (heart-related chest pain), and irregular heart rhythms (arrhythmia). It also helps prevent migraines, future heart attacks, and strokes. Met XL 25 Tablet may be prescribed alone or together with other medications. The dose and frequency will depend on what you are taking it for and the severity of your condition. It may be taken on an empty stomach or with a meal, but take it regularly at the same time each day to get the maximum benefit. It may take several weeks before you get the full benefit of this medicine, and you may need to take it for the rest of your life. However, it is important to continue taking it even if you feel well. Most people with high blood pressure do not have symptoms. If you stop taking it, your condition may worsen. The main side effects of Met XL 25 Tablet are tiredness, headache, depression, diarrhea, rash, slow heart rate,",Treatment of Hypertension (high blood pressure) Treatment of Angina (heart-related chest pain) Treatment of Arrhythmia Prevention of Migraine Prevention of heart attack and stroke Prevention of Heart attack,"In Treatment of Hypertension (high blood pressure) Met XL 25 Tablet belongs to a group of medicines called long-acting beta-blocker. Met XL 25 Tablet works by blocking the effects of some chemicals on your heart and blood vessels. It slows down your heart rate and helps it to beat with less force. This lowers your blood pressure and helps in reducing your risk of having a stroke, a heart attack, other heart problems, or kidney problems in the future. This medicine needs to be taken regularly to be effective, so keep taking it even if you feel well. Do not stop without talking to your doctor. In Treatment of Angina (heart-related chest pain) Met XL 25 Tablet relaxes the blood vessels so that blood can flow more easily around your body and makes sure that your heart is getting a good supply of oxygen. This makes it less likely that you will suffer chest pain caused by angina. This medicine can help increase your ability to exercise and go about your daily life more easily by reducing the","Met XL 25 Tablet is a long-acting beta blocker that works specifically on the heart. It works by slowing down the heart rate and making the heart more efficient at pumping blood around the body. Met XL 25 Tablet prevents migraines by blocking stress hormones, stabilizing blood vessels, and calming nerve activity. This reduces sudden blood flow changes and physical stress, lowering migraine frequency and severity.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Met XL Dizziness Tiredness Breathlessness Headache Slow heart rate Nausea Hypotension (low blood pressure) Depression Rash Diarrhea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Met XL 25 Tablet may be taken with or without food, but it is better to take it at a fixed time. Avoid Met XL 25 Tablet with high-fat meals such as olive oil, nuts & seeds (Brazil nuts), dark chocolate, butter and meat.",21-10-2025 18:15
MEtrogyl 400 Tablet,Tablet,₹ 23.93,J B Chemicals and Pharmaceuticals Ltd,400 Tablet,"MEtrogyl 400 Tablet is an antibiotic medicine that helps your body fight infections caused by bacteria and parasites. It is used to treat infections of the liver, stomach, intestines, vagina, brain, heart, lungs, bones, and skin. MEtrogyl 400 Tablet helps prevent an infection after surgery. It is also used in the treatment of dental infections, leg ulcers and pressure sores. This medicine is best taken after eating some food. It should be taken at the same time each day to get the most benefit. The amount you are advised will depend on what you are being treated for and how bad it is, but you should take this antibiotic exactly as prescribed by your doctor. Your symptoms may get better after a short time but do not stop taking it until you have finished a full course of treatment, even if you feel well. If you stop taking it early, some bacteria may survive, and the infection may come back. Do not drink any alcohol while taking this medicine and for a few days after stopping it. Otherw",Treatment of Bacterial infections Treatment of Parasitic infections,"In Treatment of Bacterial infections MEtrogyl 400 Tablet is a versatile antibiotic medicine that can be used to treat many different infections caused by bacteria. These include infections of the blood, brain, lungs, bones, joints, urinary tract, stomach, and intestines. It can also be used to treat gum ulcers and other dental infections (abscesses), leg ulcers, and pressure sores. It works by stopping the growth of the bacteria causing the infection. This medicine usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even when you feel better, to make sure that all bacteria are killed and do not become resistant. This medicine is generally safe to use while pregnant or breastfeeding, but you should ask your doctor. In Treatment of Parasitic infections MEtrogyl 400 Tablet is an antibiotic medicine that helps treat many parasitic infections such as amoebic dysentery. It works by stopping the growth of parasites causing the infect",MEtrogyl 400 Tablet is an antibiotic. It kills the bacteria and other microorganisms that cause infections by damaging their DNA.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of MEtrogyl Headache Dryness in mouth Nausea Metallic taste,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. MEtrogyl 400 Tablet is to be taken with food.",21-10-2025 18:16
Mitobulin Solution for Injection,Injection,,Cipla Ltd,100 ml,"Mitobulin Solution for Injection is used in the treatment of breast cancer. It is used to treat adults with breast cancer that has spread to other parts of the body, and who have already received other anticancer medicines after the cancer has spread. Mitobulin Solution for Injection can be used on its own, or sometimes given together with certain other medicines as part of combination chemotherapy. It is given as injection under the supervision of doctor. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. You should take it exactly as your doctor has advised. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to. The most common side effects of this medicine include weakness, hair loss, nausea, and constipation. Th",Treatment of Metastatic breast cancer,"In Treatment of Metastatic breast cancer Mitobulin Solution for Injection helps to treat breast cancer and it may be used alone or in combination with other medicines or treatment modalities like chemotherapy. This medicine is used when other medicines have not shown significant improvement and the cancer has spread to other parts as well. It relieves the symptoms of breast cancer such as breast lumps, bloody discharge from nipples or changes in the shape or texture of the breast. Mitobulin Solution for Injection kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. Discuss with your doctor if any of the side effects bother you.",Mitobulin Solution for Injection is an anticancer medication. It works by interfering with the microtubule structures which help the cancer cells to divide and multiply. This blocks the growth cycle (cell cycle) of cancer cells and eventually kills them.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Mitobulin Anemia (low number of red blood cells) Weakness Hair loss Nausea Constipation Decreased white blood cell count Fatigue Peripheral neuropathy (tingling and numbness of feet and hand),Your doctor or nurse will guide you how to use this medicine.,21-10-2025 18:16
Mitotax 100mg Injection,Injection,"₹ 3,843.21",Dr Reddys Laboratories Ltd,1.0 ml,"Mitotax 100mg Injection is an anti-cancer medication used for the treatment of breast cancer, pancreatic cancer and non-small cell lung cancer. It is given as an injection by a qualified medical professional. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. You should take it exactly as your doctor has advised. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to. Some common side effects of this medicine include nausea, vomiting, and weakness. It may also cause serious side effects such as swelling of hands, lips, hair loss, and weight gain. To reduce these side effects your doctor may suggest some medication along with it. But, inform your doctor if you notice unexplained bruising or bleeding, sore throat, mout",Breast cancer Pancreatic cancer Non-small cell lung cancer,"In Breast cancer Mitotax 100mg Injection helps to treat breast cancer and it may be used alone or in combination with other medicines or treatment modalities like chemotherapy. It relieves the symptoms of breast cancer such as breast lumps, bloody discharge from nipples or changes in the shape or texture of the breast. Mitotax 100mg Injection kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. Discuss with your doctor if any of the side effects bother you. In Pancreatic cancer Pancreas are very essential for digestion of whatever you eat and also for metabolism of blood sugar levels as they produce the bodys natural insulin. This medicine will help to control pancreatic cancer, and will relieve the symptoms such as, lack of appetite or unexplained weight loss. Mitotax 100mg Injection helps to stop the action of those chemicals that aid in pancreatic cancer growth and spread. It will help you live a longer and healthier life. In Non-small cel",Mitotax 100mg Injection is an anticancer medication. It works by interfering with the microtubule structures which help the cancer cells to divide and multiply. This slows the growth of cancer cells and eventually kills them.,"Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Mitotax Nausea Vomiting Weakness Low blood platelets Rash Upper respiratory tract infection Urinary tract infection Bleeding Anemia (low number of red blood cells) Flushing (sense of warmth in the face, ears, neck and trunk) Hair loss Decreased blood pressure Peripheral neuropathy (tingling and numbness of feet and hand) Diarrhea Decreased white blood cell count (neutrophils)",Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 18:16
Mobizox Tablet,Tablet,₹ 262.50,Sun Pharmaceutical Industries Ltd,1 Strip,"Mobizox Tablet is a combination medicine used in the treatment of pain due to muscle spasms. It improves the movement of muscles and provides relief from pain and discomfort associated with muscle spasms. Mobizox Tablet can be taken with or without food. Take it in the dose and duration advised by your doctor. Do not take more or use it for a longer duration than recommended by your doctor. Common side effects of Mobizox Tablet include nausea, dizziness, and stomach pain. If any of these side effects bother you or do not go away with time, you should let your doctor know. Your doctor may help with ways to reduce or prevent these side effects. The medicine may not be suitable for everybody. Before taking it, let your doctor know if you have any problems with your heart, kidneys, or liver. To make sure it is safe for you, let your doctor also know about all the other medicines you are taking. Pregnant and breastfeeding mothers should first consult their doctors before using the medicine.",Treatment of Pain due to muscle spasm,"In Treatment of Pain due to muscle spasm Mobizox Tablet is a combination medicine that is used to relieve pain, inflammation, and swelling in conditions that affect muscles. Also, it effectively relieves muscle stiffness or spasm, thereby improving muscle movement. It works by blocking chemical messengers in the brain that tell us we have pain. Take it as it is prescribed to get the most benefit. Do not take more or longer than needed as that can be dangerous. In general, you should take the lowest dose that works, for the shortest possible time. This will help you to go about your daily activities more easily and have a better, more active, quality of life.","Mobizox Tablet is a combination of a muscle relaxant (Chlorzoxazone) and two pain-relieving medicines (Diclofenac and Paracetamol). The muscle relaxant works on the centers in the brain and spinal cord to relieve muscle stiffness or spasms, thereby improving the movement of muscles. The pain-relieving medicines work by blocking the release of certain chemical messengers in the brain that cause pain and inflammation (redness and swelling).",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Mobizox Dizziness Constipation Abdominal pain Indigestion Nausea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Mobizox Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:16
Monocef 1 g Injection,Injection,₹ 66.64,Aristo Pharmaceuticals Pvt Ltd,,"Monocef 1 g Injection is a medicine used to treat bacterial infections in your body. It is effective in infections of the brain (e.g., meningitis), lungs (e.g., pneumonia), ear, urinary tract, skin and soft tissues, bones and joints, blood, and heart. Monocef 1 g Injection may also be used to prevent infections during surgery. It is given as a drip (intravenous infusion) or as an injection directly into a vein or a muscle under the supervision of a doctor. Your doctor will decide the correct dose for you. This medicine will be given to you regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection. The most common side effects of Monocef 1 g Injection include diarrhea, rash, changes in liver function tests, and blood cell counts (such as high eosinophil count, decreased white blood cells, and",Treatment of Bacterial infections,"In Treatment of Bacterial infections Monocef 1 g Injection treats severe bacterial infections such as pneumonia, meningitis, urinary tract infections, and bloodstream infections. It eliminates harmful bacteria, provides rapid symptom relief, and prevents complications. Given its once-daily dosing and strong effectiveness, it ensures better treatment adherence and faster recovery. By controlling infections efficiently, Monocef 1 g Injection supports overall health and well-being, allowing individuals to regain strength and resume daily activities sooner.","Monocef 1 g Injection is an antibiotic. It kills the bacteria by preventing them from forming the bacterial protective covering (cell wall), which is needed for them to survive.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Monocef Increased white blood cell count (eosinophils) Decreased white blood cell count Low blood platelets Diarrhea Abnormal liver function tests Rash,Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 18:16
Monocef-O 200 Tablet,Tablet,₹ 215.60,Aristo Pharmaceuticals Pvt Ltd,200 Tablet,"Monocef-O 200 Tablet is an antibiotic medicine used to treat bacterial infections in your body. It is effective in infections of the lungs (e.g., pneumonia), urinary tract, ear, nasal sinus, and throat. It kills bacteria, which helps to improve your symptoms. Monocef-O 200 Tablet should be taken with food. You should take it regularly at evenly spaced intervals or as per the schedule prescribed by your doctor. The dose will depend on what you are being treated for, but you should always complete a full course of treatment prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive, and the infection may come back. It will not work for viral infections such as the flu or the common cold. Using any antibiotic when you do not need it can make it less effective for future infections. The most common side effects of this medicine include nausea, stomach pain, and headache. If any of these side ef",Treatment of Bacterial infections,"In Treatment of Bacterial infections Monocef-O 200 Tablet kills the infection-causing bacteria in your body. This medicine is used to treat many different types of infections such as those of the brain (meningitis), lungs (pneumonia), ear, abdomen, urinary tract, bones and joints, skin, blood, and heart. This medicine usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better. Stopping it early may make the infection come back and harder to treat.","Monocef-O 200 Tablet is an antibiotic. It kills the bacteria by preventing them from forming the bacterial protective covering (cell wall), which is needed for them to survive. This weakens the bacteria, causing them to die. As a result, the infection is controlled, and the bodys immune system can effectively eliminate the remaining bacteria.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Monocef-O Nausea Vomiting Stomach pain Increased white blood cell count (eosinophils),"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Monocef-O 200 Tablet is to be taken with food.",21-10-2025 18:16
Montair FX Tablet,Tablet,₹ 416.50,Cipla Ltd,1 Strip,"Montair FX Tablet is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes, and congestion or stuffiness. Montair FX Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects include nausea, diarrhea, vomiting, skin rash, flu-like symptoms, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine may cause dizziness and sleepiness, so do not drive or do anything that",Treatment of Sneezing and runny nose due to allergies,"In Treatment of Sneezing and runny nose due to allergies Montair FX Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.","Montelukast is a leukotriene antagonist. It works by blocking the action of a chemical messenger called leukotriene. This reduces inflammation (swelling) in the airways and nose and improves symptoms. Fexofenadine is an antiallergic which blocks the action of another chemical messenger (histamine) responsible for runny nose, watery eyes and sneezing.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Montair FX Nausea Diarrhea Vomiting Flu-like symptoms Headache Drowsiness Dizziness Upper respiratory tract infection Increased transaminase level in blood Fever Skin rash,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montair FX Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:16
Montair LC Kid Syrup,Syrup,₹ 158.60,Cipla Ltd,5 ml,,Treatment of Allergic skin conditions Treatment of Sneezing and runny nose due to allergies Treatment of Hay fever,"In Treatment of Allergic skin conditions Montair LC Kid Syrup is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits. In Treatment of Sneezing and runny nose due to allergies Montair LC Kid Syrup is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most bene","Montair LC Kid Syrup contains Levocetirizine and Montelukast. Together these two relieve sneezing and runny nose caused due to allergies. Levocetirizine is an antiallergic that blocks a chemical messenger (histamine) responsible for runny nose, watery eyes, and sneezing. Montelukast is a leukotriene antagonist. It works by blocking another chemical messenger (leukotriene). This reduces inflammation (swelling) in the airways and nose and improves symptoms.","Montair LC Kid Syrup does not pose serious side effects and is well-tolerated by children. In case the side effects do occur, theyre likely to subside once the body adapts to the medicine. Consult your childs doctor if these side effects persist or bother your child. The most common side effects include- Common side effects of Montair LC Rash Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting Fever Increased liver enzymes",,21-10-2025 18:16
Montair-LC Tablet,Tablet,₹ 381.60,Cipla Ltd,1 Strip,"Montair-LC Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. It also reduces inflammation in the airways and make breathing easier. Montair-LC Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects are nausea, diarrhea, vomiting, dryness in the mouth, headache, skin rash, flu-like symptoms, and fatigue. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned a",Treatment of Allergic skin conditions Treatment of Sneezing and runny nose due to allergies Treatment of Hay fever,"In Treatment of Allergic skin conditions Montair-LC Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits. In Treatment of Sneezing and runny nose due to allergies Montair-LC Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit. I","Montair-LC Tablet is a combination of two medicines: Levocetirizine and Montelukast, which relieves sneezing and runny nose due to allergies. Levocetirizine is an antiallergic which blocks a chemical messenger (histamine) responsible for runny nose, watery eyes and sneezing. Montelukast is a leukotriene antagonist. It works by blocking another chemical messenger (leukotriene). This reduces inflammation (swelling) in the airways and nose, and improves symptoms.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Montair LC Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting Upper respiratory tract infection Sore throat Fever Abdominal pain Increased liver enzymes,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montair-LC Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:16
Monticope Tablet,Tablet,₹ 103.01,Mankind Pharma Ltd,2.5 ml,"Monticope Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. It also reduces inflammation in the airways and make breathing easier. Monticope Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects are nausea, diarrhea, vomiting, dryness in the mouth, headache, skin rash, flu-like symptoms, and fatigue. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned abo",Treatment of Allergic skin conditions Treatment of Sneezing and runny nose due to allergies Treatment of Hay fever,"In Treatment of Allergic skin conditions Monticope Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits. In Treatment of Sneezing and runny nose due to allergies Monticope Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit. In","Monticope Tablet is a combination of two medicines: Levocetirizine and Montelukast, which relieves sneezing and runny nose due to allergies. Levocetirizine is an antiallergic which blocks a chemical messenger (histamine) responsible for runny nose, watery eyes and sneezing. Montelukast is a leukotriene antagonist. It works by blocking another chemical messenger (leukotriene). This reduces inflammation (swelling) in the airways and nose, and improves symptoms.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Monticope Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting Upper respiratory tract infection Sore throat Fever Abdominal pain Increased liver enzymes,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Monticope Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:16
Montina-L Tablet,Tablet,₹ 84.38,Aristo Pharmaceuticals Pvt Ltd,1 Strip,"Montina-L Tablet is a combination medicine used in the treatment of allergic symptoms such as runny nose, stuffy nose, sneezing, itching, swelling, watery eyes and congestion or stuffiness. It also reduces inflammation in the airways and make breathing easier. Montina-L Tablet is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects are nausea, diarrhea, vomiting, dryness in the mouth, headache, skin rash, flu-like symptoms, and fatigue. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned abo",Treatment of Allergic skin conditions Treatment of Sneezing and runny nose due to allergies Treatment of Hay fever,"In Treatment of Allergic skin conditions Montina-L Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits. In Treatment of Sneezing and runny nose due to allergies Montina-L Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit. In","Montina-L Tablet is a combination of two medicines: Levocetirizine and Montelukast, which relieves sneezing and runny nose due to allergies. Levocetirizine is an antiallergic which blocks a chemical messenger (histamine) responsible for runny nose, watery eyes and sneezing. Montelukast is a leukotriene antagonist. It works by blocking another chemical messenger (leukotriene). This reduces inflammation (swelling) in the airways and nose, and improves symptoms.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Montina-L Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting Upper respiratory tract infection Sore throat Fever Abdominal pain Increased liver enzymes,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Montina-L Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 18:16
